KOD10;NEV
E7700;A lysosomális enzimek post-translatiós modificatiójának defektusai
E7710;A glycoprotein lebontás defektusai
E7780;A glycoprotein anyagcsere egyéb rendellenességei
E7790;Glycoprotein anyagcsere rendellenesség k.m.n.
E7800;Tiszta hypercholesterinaemia
E7810;Tiszta hypertriglyceridaemia
E7820;Kevert hyperlipidaemia
E7830;Hyperchylomicronaemia
E7840;Egyéb hyperlipidaemia
E7850;Hyperlipidaemia, k.m.n.
E7860;Lipoprotein hiány
E7880;A lipoprotein anyagcsere egyéb rendellenességei
E7890;Lipoprotein anyagcsere rendellenesség, k.m.n.
E7900;Hyperuricaemia gyulladásos arthritis és köszvényes csomók nélkül
E7910;Lesch-Nyhan-syndroma
E7980;A purin és pyrimidin anyagcsere egyéb rendellenességei
E7990;Purin és pyrimidin anyagcsere rendellenesség, k.m.n.
E8000;Hereditaer erythropoeticus porphyria
E8010;Porphyria cutanea tarda
E8020;Egyéb porphyria
E8030;Catalase és peroxydase defektusok
E8040;Gilbert-syndroma
E8050;Crigler-Najjar-syndroma
E8060;Egyéb bilirubin anyagcsere rendellenességek
E8070;Bilirubin anyagcsere rendellenesség, k.m.n.
E8300;A réz-anyagcsere rendellenességei
E8310;A vas anyagcsere rendellenességei
E8320;A cink anyagcsere rendellenességei
E8330;A phosphor-anyagcsere rendellenességei
E8340;A magnesium anyagcsere rendellenességei
E8350;A kalcium anyagcsere rendellenességei
E8380;Az ásványi anyagcsere egyéb rendellenességei
E8390;Ásványi anyagcsere rendellenesség, k.m.n.
E8400;Fibrosis cystica tüdõ-manifestatiokkal
E8410;Fibrosis cystica intestinális manifestatiokkal
E8480;Fibrosis cystica egyéb manifestatiokkal
E8490;Fibrosis cystica, k.m.n.
E8500;Heredofamiliaris amyloidosis, neuropathia nélkül
E8510;Heredofamiliaris amyloidosis neuropathiával
E8520;Heredofamiliaris amyloidosis, k.m.n.
E8530;Secundaer szisztémás amyloidosis
E8540;Szervre lokalizált amyloidosis
E8580;Egyéb amyloidosis
E8590;Amyloidosis, k.m.n.
E86H0;A testnedvek csökkenése, volumenhiány
E8700;Hyperosmolaritás és hypernatraemia
E8710;Hyposmolaritás és hyponatraemia
E8720;Acidosis
E8730;Alkalosis
E8740;A sav-bázis egyensúly kevert zavara
E8750;Hyperkalaemia
E8760;Hypokalaemia
E8770;Túlzott folyadékbevitel (folyadéktúlterhelés)
E8780;Egyéb elektrolit- és folyadék-egyensúly zavarok, m.n.o.
E8800;A plasmafehérje anyagcsere m.n.o. rendellenességei
E8810;Lipodystrophia, m.n.o.
E8820;Lipomatosis, m.n.o.
E8880;Egyéb anyagcsere rendellenességek
E8890;Anyagcsere rendellenesség, k.m.n.
E8900;Beavatkozás utáni pajzsmirigy elégtelenség
E8910;Beavatkozás utáni hypoinsulinaemia
E8920;Beavatkozás utáni mellékpajzsmirigy elégtelenség
E8930;Beavatkozás utáni hypophysis elégtelenség
E8940;Beavatkozás utáni petefészek elégtelenség
E8950;Beavatkozás utáni here-elégtelenség
E8960;Beavatkozás utáni mellékvesekéreg(-velõ) hypofunctio
E8980;Beavatkozás utáni egyéb endocrin és anyagcsere zavarok
E8990;Beavatkozás utáni endocrin és anyagcsere zavar, k.m.n.
E90H0;Táplálkozási és anyagcsere zavarok máshova osztályozott betegségekben
F0000;Demencia Alzheimer-betegségben, korai kezdettel (30.0+)
F0010;Demencia Alzheimer-betegségben, késõi kezdettel (G30.1+)
F0020;Demencia Alzheimer-betegségben, atípusos, vagy kevert formájú (G30.8+)
F0090;Nem-meghatározott demencia Alzheimer-betegségben (G30.9+)
F0100;Vaszkuláris demencia akut kezdettel
F0110;Multi-infarktusos demencia
F0120;Szubkortikális vaszkuláris demencia
F0130;Kevert, szubkortikális és kortikális vaszkuláris demencia
F0180;Egyéb vaszkuláris demencia
F0190;Nem-meghatározott vaszkuláris demencia
F0200;Demencia Pick-betegségben (G31.0+)
F0210;Demencia Creutzfeldt-Jakob-betegségben (A81.0+)
F0220;Demencia Huntington-betegségben (G10+)
F0230;Demencia Parkinson-kórban (G20+)
F0240;Demencia HIV-megbetegedésben (B22.0+)
F0280;Demencia máshol osztályozott-betegségben
F03H0;Nem-meghatározott demencia
F04H0;Organikus amnéziás szindróma, nem alkohol vagy pszichoaktív szertôl
F0500;Nem dementiához társuló delirium
F0510;Dementiához társuló delirium
F0580;Egyéb delirium
F0590;Nem-meghatározott delirium
F0600;Organikus hallucinózis
F0610;Organikus katatónia
F0620;Organikus paranoid (téveszmés) [szkizofrénia szerû] zavar
F0630;Organikus hangulat- (affektív) zavarok
F0640;Organikus szorongás zavar
F0650;Organikus disszociatív zavar
F0660;Organikus emócionális labilitás (asthenia)
F0670;Enyhe kognitív zavar
F0680;Egyéb meghat.mentális zavar, agykárosodás,diszfunkció,szervi baj okozt
F0690;K.m.n. mentális zavar, agykárosodás, diszfunkció, szervi baj okozta
F0700;Organikus személyiségzavar
F0710;Posztenkefalitiszes szindróma
F0720;Posztkommóciós szindróma
F0780;Egyéb meghat.személyiség-viselkedészavar, a közp.idegr. elváltozásától
F0790;K.m.n. személyiség-viselkedészavar, a közp. idegr. elváltozásától
F09H0;K.m.n. organikus vagy szimptomatikus mentális rendellenesség
F1000;Alkohol okozta akut intoxikáció
F1010;Alkohol okozta káros használat (abuzus)
F1020;Alkohol okozta dependencia (szindróma)
F1030;Alkohol okozta megvonási szindróma
F1040;Alkohol okozta megvonási szindróma deliriummal
F1050;Alkohol okozta pszichotikus zavarok
F1060;Alkohol okozta amnesztikus szindróma
F1070;Alkohol okozta reziduális zavarok
F1080;Alkohol okozta egyéb mentális és viselkedészavarok
F1090;Alkohol okozta k.m.n. mentális és viselkedészavarok
F1100;Opiátok okozta akut intoxikáció
F1110;Opiátok okozta káros használat (abuzus)
F1120;Opiátok okozta dependencia (szindróma)
F1130;Opiátok okozta megvonási szindróma
F1140;Opiátok okozta megvonási szindróma deliriummal
F1150;Opiátok okozta pszichotikus zavarok
F1160;Opiátok okozta amnesztikus szindróma
F1170;Opiátok okozta reziduális zavarok
F1180;Opiátok okozta egyéb mentális és viselkedészavarok
F1190;Opiátok okozta k.m.n. mentális és viselkedészavarok
F1200;Cannabis és származékai okozta akut intoxikáció
F1210;Cannabis és származékai okozta káros használat (abuzus)
F1220;Cannabis és származékai okozta dependencia (szindróma)
F1230;Cannabis és származékai okozta megvonási szindróma
F1240;Cannabis és származékai okozta megvonási szindróma deliriummal
F1250;Cannabis és származékai okozta pszichotikus zavarok
F1260;Cannabis és származékai okozta amnesztikus szindróma
F1270;Cannabis és származékai okozta reziduális zavarok
F1280;Cannabis és származékai okozta egyéb mentális és viselkedészavarok
F1290;Cannabis és származékai okozta k.m.n. mentális és viselkedészavarok
F1300;Nyugtatók és altatók okozta akut intoxikáció
F1310;Nyugtatók és altatók okozta káros használat (abuzus)
F1320;Nyugtatók és altatók okozta dependencia (szindróma)
F1330;Nyugtatók és altatók okozta megvonási szindróma
F1340;Nyugtatók és altatók okozta megvonási szindróma deliriummal
F1350;Nyugtatók és altatók okozta pszichotikus zavarok
F1360;Nyugtatók és altatók okozta amnesztikus szindróma
F1370;Nyugtatók és altatók okozta reziduális zavarok
F1380;Nyugtatók és altatók okozta egyéb mentális és viselkedészavarok
F1390;Nyugtatók és altatók okozta k.m.n. mentális-viselkedészavarok
F1400;Cocain okozta akut intoxikáció
F1410;Cocain okozta káros használat (abuzus)
F1420;Cocain okozta dependencia (szindróma)
F1430;Cocain okozta megvonási szindróma
F1440;Cocain okozta megvonási szindróma deliriummal
F1450;Cocain okozta pszichotikus zavarok
F1460;Cocain okozta amnesztikus szindróma
F1470;Cocain okozta reziduális zavarok
F1480;Cocain okozta egyéb mentális és viselkedészavarok
F1490;Cocain okozta k.m.n. mentális és viselkedészavarok
F1500;Egyéb stimulánsok okozta akut intoxikáció
F1510;Egyéb stimulánsok okozta káros használat (abuzus)
F1520;Egyéb stimulánsok okozta dependencia (szindróma)
F1530;Egyéb stimulánsok okozta megvonási szindróma
F1540;Egyéb stimulánsok okozta megvonási szindróma deliriummal
F1550;Egyéb stimulánsok okozta pszichotikus zavarok
F1560;Egyéb stimulánsok okozta amnesztikus szindróma
F1570;Egyéb stimulánsok okozta reziduális zavarok
F1580;Egyéb stimulánsok okozta egyéb mentális és viselkedészavarok
F1590;Egyéb stimulánsok okozta k.m.n. mentális és viselkedészavarok
F1600;Hallucinogének okozta akut intoxikáció
F1610;Hallucinogének okozta káros használat (abuzus)
F1620;Hallucinogének okozta dependencia (szindróma)
F1630;Hallucinogének okozta megvonási szindróma
F1640;Hallucinogének okozta megvonási szindróma deliriummal
F1650;Hallucinogének okozta pszichotikus zavarok
F1660;Hallucinogének okozta amnesztikus szindróma
F1670;Hallucinogének okozta reziduális zavarok
F1680;Hallucinogének okozta egyéb mentális és viselkedészavarok
F1690;Hallucinogének okozta k.m.n. mentális és viselkedészavarok
F1700;Dohányzás okozta akut intoxikáció
F1710;Dohányzás okozta káros használat (abuzus)
F1720;Dohányzás okozta dependencia (szindróma)
F1730;Dohányzás okozta megvonási szindróma
F1740;Dohányzás okozta megvonási szindróma deliriummal
F1750;Dohányzás okozta pszichotikus zavarok
F1760;Dohányzás okozta amnesztikus szindróma
F1770;Dohányzás okozta reziduális zavarok
F1780;Dohányzás okozta egyéb mentális és viselkedészavarok
F1790;Dohányzás okozta k.m.n. mentális és viselkedészavarok
F1800;Illékony oldószerek okozta akut intoxikáció
F1810;Illékony oldószerek okozta káros használat (abuzus)
F1820;Illékony oldószerek okozta dependencia (szindróma)
F1830;Illékony oldószerek okozta megvonási szindróma
F1840;Illékony oldószerek okozta megvonási szindróma deliriummal
F1850;Illékony oldószerek okozta pszichotikus zavarok
F1860;Illékony oldószerek okozta amnesztikus szindróma
F1870;Illékony oldószerek okozta reziduális zavarok
F1880;Illékony oldószerek okozta egyéb mentális és viselkedészavarok
F1890;Illékony oldószerek okozta k.m.n. mentális és viselkedészavarok
F1900;Drogok és pszichoaktív anyagok okozta akut intoxikáció
F1910;Drogok és pszichoaktív anyagok okozta káros használat (abuzus)
F1920;Drogok és pszichoaktív anyagok okozta dependencia (szindróma)
F1930;Drogok és pszichoaktív anyagok okozta megvonási szindróma
F1940;Drogok és pszichoaktív anyagok okozta megvonási szindróma deliriummal
F1950;Drogok és pszichoaktív anyagok okozta pszichotikus zavarok
F1960;Drogok és pszichoaktív anyagok okozta amnesztikus szindróma
F1970;Drogok és pszichoaktív anyagok okozta reziduális zavarok
F1980;Drogok és pszichoaktívák okozta egyéb mentális és viselkedészavarok
F1990;Drogok és pszichoaktívák okozta k.m.n. mentális és viselkedészavarok
F2000;Paranoid szkizofrénia
F2010;Hebfrénia
F2020;Kataton szkizofrénia
F2030;Nem differenciálható (differenciálhatatlan) szkizofrénia
F2040;Szkizofrénia utáni depresszió
F2050;Reziduális szkizofrénia
F2060;Szkizofrénia szimplex (egyszerû szkizofrénia)
F2080;Egyéb szkizofrénia
F2090;Nem-meghatározott szkizofrénia
F21H0;Szkizotipiás rendellenesség
F2200;Paranoia (delúziv zavar)
F2280;Egyéb perzisztáló (tartós) paranoid (delúziv) zavar
F2290;Nem-meghatározott perzisztáló (tartós) paranoid (delúziv) zavar
F2300;Akut polimorf pszichotikus zavar (szkizofrénia tünetei nélkül)
F2310;Akut polimorf pszichotikus zavar szkizofrénia tüneteivel
F2320;Akut szkizofreniform pszichózis (pszichotikus zavar)
F2330;Egyéb akut, döntõen paranoid (téveszmés) pszichotikus zavar
F2380;Egyéb akut és átmeneti pszichotikus zavar
F2390;Nem-meghatározott akut és átmeneti pszichotikus zavar
F24H0;Indukált deluzionális rendellenességek
F2500;Szkizoaffektív zavar mániás típusa
F2510;Szkizoaffektív zavar depressziós típusa
F2520;Szkizoaffektív zavar kevert típusa
F2580;Egyéb szkizoaffektív zavar
F2590;Nem-meghatározott szkizoaffektív zavar
F28H0;Egyéb nem-organikus pszichotikus rendellenességek
F29H0;Nem-organikus pszichózis k.m.n.
F3000;Hipománia
F3010;Mánia pszichotikus tünetek nélkül
F3020;Mánia pszichotikus tünetekkel
F3080;Egyéb mániás epizód
F3090;Nem-meghatározott mániás epizód
F3100;Bipoláris affektív zavar, hipomániás epizód
F3110;Bipoláris affektív zavar, mániás epizód pszichotikus tünetek nélkül
F3120;Bipoláris affektív zavar, mániás epizód pszichotikus tünetekkel
F3130;Bipoláris affektív zavar, enyhe vagy közepes depressziós epizód
F3140;Bipoláris affektív zavar, súlyos depresszió,pszichotikus tünetek nélkü
F3150;Bipoláris affektív zavar, súlyos depresszió, pszichotikus tünetekkel
F3160;Bipoláris affektív zavar, jelenleg kevert tünetek észlelhetõk
F3170;Bipoláris affektív zavar, jelenleg remisszióban
F3180;Egyéb bipoláris affektív zavar
F3190;Nem-meghatározott bipoláris affektív zavar
F3200;Enyhe depressziós epizód
F3210;Közepes depressziós epizód
F3220;Súlyos depressziós epizód pszichotikus tünetek nélkül
F3230;Súlyos depressziós epizód pszichotikus tünetekkel
F3280;Egyéb depressziós epizód
F3290;Nem-meghatározott depressziós epizód
F3300;Rekurrens (ismétlõdõ) depresszió, jelenleg enyhe depressziós epizód
F3310;Rekurrens (ismétlõdõ) depresszió, jelenleg közepes depressziós epizód
F3320;Rekurrens depresszió, súlyos depressziós epizód, pszich. tünetek nélkü
F3330;Rekurrens depresszió, súlyos depressziós epizód, pszichot. tünetekkel
F3340;Rekurrens (ismétlõdõ) depresszió, jelenleg remisszióban
F3380;Egyéb rekurrens (ismétlõdõ) depresszió
F3390;Nem-meghatározott rekurrens depresszió (zavar)
F3400;Ciklotimia
F3410;Disztimia
F3480;Egyéb perzisztáló (tartós) hangulatzavar
F3490;Nem-meghatározott perzisztáló (tartós) hangulatzavar
F3800;Egyéb hangulatú [affektív] rendellenességek
F3810;Egyéb rekurrens (ismétlõdõ) hangulat- (affektív) zavar
F3880;Egyéb meghatározott hangulat- (affektív) zavar
F39H0;Nem-meghatározott hangulat- (affektív) zavar
F4000;Agorafóbia
F4010;Szociális fóbia
F4020;Meghatározott, körülírt fóbia (egyszerû fóbia)
F4080;Egyéb fóbiás szorongás zavar
F4090;Nem-meghatározott fóbiás szorongás zavar
F4100;Pánik zavar (szindróma) (epizódikus, rohamokban jelentkezõ szorongás)
F4110;Generalizált szorongás
F4120;Kevert szorongásos és depressziós zavar
F4130;Egyéb kevert szorongásos zavar
F4180;Egyéb meghatározott szorongásos zavar
F4190;Nem-meghatározott szorongás
F4200;Elsõsorban kényszergondolatok vagy rumináció
F4210;Fõként kompulziv cselekedetek (rögeszmés rítusok)
F4220;Kevert kényszeres gondolatok és cselekedetek
F4280;Egyéb obszessziv-kompulziv zavar
F4290;Nem-meghatározott obszessziv-kompulziv zavar
F4300;Akut stresszreakció
F4310;Poszttraumás stressz zavar
F4320;Alkalmazkodási zavarok
F4380;Súlyos stresszre adott egyéb reakció
F4390;Súlyos stresszre adott nem-meghatározott válasz
F4400;Disszociatív amnézia
F4410;A disszociatív fuga
F4420;Disszociatív stupor
F4430;Transz(szerû) és megszállottsági zavarok
F4440;Disszociatív mozgás-zavarok
F4450;Disszociatív konvulziók
F4460;Disszociatív anesztézia és érzészavar (érzéskiesés)
F4470;Kevert disszociatív (konverziós) zavarok
F4480;Egyéb disszociatív (konverziós) zavarok
F4490;Nem-meghatározott disszociatív (konverziós) zavarok
F4500;Szomatizáció(s zavar)
F4510;Nem differenciált szomatoform zavar
F4520;Hipochondria
F4530;Szomatoform vegetatív (autonóm) diszfunkció
F4540;Állandó szomatoform fájdalom zavar
F4580;Egyéb szomatoform zavarok
F4590;Nem-meghatározott szomatoform zavarok
F4800;Neuraszténia
F4810;Deperszonalizációs-derealizációs szindróma
F4880;Egyéb meghatározott neurotikus zavar
F4890;Nem-meghatározott neurotikus zavar
F5000;Anorexia nervosa
F5010;Atípusos anorexia nervosa
F5020;Bulimia nervosa
F5030;Atípusos bulimia nervosa
F5040;Túl-evés, ami más pszichés zavarhoz társul
F5050;Hányás, ami más pszichés zavarhoz társul
F5080;Egyéb evészavar (táplálkozási zavar)
F5090;Nem-meghatározott evészavarok (táplálkozási zavarok)
F5100;Nem-organikus inszomnia
F5110;Nem-organikus hiperszomnia
F5120;Az alvás-ébrenlét ciklusának nem-organikus zavarai
F5130;"Somnabulismus [""alvajárás""]"
F5140;Pavor nocturnus [sleep terrors]
F5150;"Incubus (dream anxiety) (""lidércnyomás"")"
F5180;Egyéb nem-organikus alvászavar
F5190;Nem-meghatározott nem-organikus alvászavar
F5200;A szexuális vágy hiánya vagy elvesztése
F5210;Szexuális averzió és a szexuális kapcsolat örömtelensége
F5220;A nemi szervek válaszképességének a csökkenése
F5230;Orgazmuszavarok
F5240;Ejaculatio precox (korai magömlés)
F5250;Nem-organikus vaginizmus
F5260;Nem-organikus dyspareunia (genitális fájdalmak)
F5270;Túlzott (excesszív) szexuális vágy
F5280;Egyéb szexuális diszfunkció (nem-organikus elváltozás okozta)
F5290;K.m.n. szexuális diszfunkció, nem-organikus elváltozás miatt
F5300;Enyhe mentális és viselkedészavar, puerperiumhoz társulva, m.n.o.
F5310;Súlyos mentális és viselkedészavar, puerperiumhoz társulva, m.n.o.
F5380;Egyéb, m.n.o. puerperiummal társuló mentális és magatartászavar
F5390;Nem-meghatározott puerperiummal társuló mentális zavar
F54H0;Pszichológiai tényezõk máshova osztályozott rendellenességben
F55H0;Dependenciát nem okozó anyagok abuzusa
F59H0;K.m.n. magatartási syndromák fiziológiai és fizikai faktorokkal
F6000;Paranoid személyiségzavar
F6010;Szkizoid személyiségzavar
F6020;Disszociális személyiségzavar
F6030;Érzelmileg labilis személyiségzavar
F6040;Hisztrionikus személyiségzavar
F6050;Anankasztikus (obszessziv-kompulziv) személyiségzavar
F6060;Szorongó (elkerülõ, averziv) személyiségzavar
F6070;Dependens személyiségzavar
F6080;Egyéb specifikus (meghatározott) személyiségzavar
F6090;Nem-meghatározott személyiségzavar
F61H0;Kevert és egyéb személyiségzavarok
F6200;A személyiség tartós változása katasztrófa átélése után
F6210;A személyiség tartós változása pszichiátriai megbetegedés után
F6280;Egyéb tartós személyiségváltozás
F6290;Nem-meghatározott, tartós személyiségváltozás
F6300;Kóros játékszenvedély
F6310;Pirománia
F6320;Kleptománia
F6330;Trichotillománia
F6380;Egyéb szokás és impulzus-kontroll zavarok
F6390;Nem-meghatározott szokás és impulzus-kontroll zavarok
F6400;Transz-szexualizmus
F6410;Kettõs-szerepû transzvesztitizmus
F6420;Gyermekkori nemi identitászavar
F6480;A nemi identitás egyéb zavara
F6490;Nem-meghatározott nemi identitászavar
F6500;Fetisizmus
F6510;Fetisisztikus transzvesztitizmus
F6520;Exhibicionizmus
F6530;Voyeurismus
F6540;Pedofilia
F6550;Szado-mazochizmus
F6560;A szexuális preferencia multiplex (többszörös) zavara
F6580;Egyéb zavara a szexuális preferenciának (beállítottságnak)
F6590;Nem-meghatározott zavara a szexuális preferenciának
F6600;A szexuális érés zavara
F6610;Ego-disztóniás szexuális orientáció
F6620;A szexuális kapcsolat zavara
F6680;Egyéb pszichoszexuális fejlõdészavar
F6690;Nem-meghatározott pszichoszexuális fejlõdészavar
F6800;Agraváció [fizikai tünetek elõidézése pszichés okokból]
F6810;Fakticiózus zavar. [Pszichés vagy testi tünetek szándékos produkciója]
F6880;Egyéb meghatározott zavara a felnõtt személyiségnek és viselkedésnek.
F69H0;A felnõtt személyiség és viselkedés k.m.n. zavara
F7000;Enyhe mentális retardáció enyhe viselkedésromlással
F7010;Enyhe mentális retardáció markáns viselkedésromlással
F7080;Enyhe mentális retardáció egyéb viselkedésromlással
F7090;Enyhe mentális retardáció viselkedésromlás nélkül
F7100;Közepes mentális retardáció enyhe viselkedésromlással
F7110;Közepes mentális retardáció markáns viselkedésromlással
F7180;Közepes mentális retardáció egyéb viselkedésromlással
F7190;Közepes mentális retardáció viselkedésromlás nélkül
F7200;Súlyos mentális retardáció enyhe viselkedésromlással
F7210;Súlyos mentális retardáció markáns viselkedésromlással
F7280;Súlyos mentális retardáció egyéb viselkedésromlással
F7290;Súlyos mentális retardáció viselkedésromlás nélkül
F7300;Igen súlyos mentális retardáció enyhe viselkedésromlással
F7310;Igen súlyos mentális retardáció markáns viselkedésromlással
F7380;Igen súlyos mentális retardáció egyéb viselkedésromlással
F7390;Igen súlyos mentális retardáció viselkedésromlás nélkül
F7800;Mentális retardáció k.m.n., enyhe viselkedésromlással
F7810;Mentális retardáció k.m.n., markáns viselkedésromlással
F7880;Mentális retardáció k.m.n., egyéb viselkedésromlással
F7890;Mentális retardáció k.m.n., viselkedésromlás nélkül
F7900;Nem-osztályozott mentális retardáció enyhe viselkedésromlással
F7910;Nem-osztályozott mentális retardáció markáns viselkedésromlással
F7980;Nem-osztályozott mentális retardáció egyéb viselkedésromlással
F7990;Nem-osztályozott mentális retardáció viselkedésromlás nélkül
F8000;Az artikuláció jellegzetes zavara
F8010;A kifejezõ (expresszív) beszéd zavara
F8020;A beszédmegértés (receptív beszéd) zavara
F8030;Szerzett afázia epilepsziával [Landau-Kleffner szindróma]
F8080;Egyéb nyelvi és beszédfejlõdési zavar
F8090;Nem-meghatározott zavara a beszéd és a nyelv fejlõdésének
F8100;Meghatározott olvasási zavar (diszlexia)
F8110;Az írás zavara (diszgráfia)
F8120;Az aritmetikai készségek zavara (diszkalkulia)
F8130;Az iskolai készségek kevert zavara
F8180;Egyéb fejlõdési zavara az iskolai készségeknek
F8190;Nem-meghatározott fejlõdési zavara az iskolai készségeknek
F82H0;A motoros funkció specifikus fejlõdési rendellenességei
F83H0;Kevert specifikus fejlõdési zavarok
F8400;Gyermekkori autizmus (autismus infantilis)
F8410;Atípusos autizmus
F8420;Rett-szindróma
F8430;Egyéb gyermekkori desintegrativ zavar
F8440;Túlzott aktivitás mentális retardatióval és sztereotip mozgászavarral
F8450;Asperger-szindróma
F8480;Egyéb pervaziv (átható) fejlõdési zavar
F8490;Nem-meghatározott pervaziv (átható) fejlõdési zavar
F88H0;A pszichológiai fejlõdés egyéb rendellenességei
F89H0;A pszichológiai fejlõdés rendellenességei k.m.n.
F9000;Az aktivitás és a figyelem zavarai
F9010;Hiperkinetikus magatartászavar
F9080;Egyéb hiperkinetikus zavar
F9090;Nem-meghatározott hiperkinetikus zavar
F9100;A családi körre korlátozódó magatartászavar
F9110;Kortárscsoportba sem beilleszkedettek magatartászavara (nem szoc.zált)
F9120;Kortárs-csoportba beilleszkedettek magatartászavara (szocializált)
F9130;Nyílt (kihívó) oppoziciós zavar
F9180;Egyéb magatartászavar
F9190;Nem-meghatározott magatartászavar
F9200;Depressziós magatartászavar
F9280;Egyéb kevert magatartás és emócionális zavar
F9290;Nem-meghatározott kevert emócionális és magatartászavar
F9300;Szeparációs szorongás a gyermekkorban
F9310;Fóbiás szorongásos zavar gyermekkorban
F9320;Szociális szorongásos zavar gyermekkorban
F9330;Testvér rivalizáció (zavara)
F9380;Egyéb gyermekkori emócionális zavar
F9390;Nem-meghatározott gyermekkori emócionális zavar
F9400;Elektív mutizmus
F9410;Reaktív kötõdési zavar gyermekkorban
F9420;Diszinhibiciós (gátlástalan) kötõdési zavar gyermekkorban
F9480;Egyéb gyermekkori szociális funkciózavar
F9490;Nem-meghatározott gyermekkori szociális funkciózavar
F9500;Átmeneti tic (zavar)
F9510;Krónikus motoros vagy vokális tic (zavar)
F9520;Kombinált vokális és multiplex motoros tic (zavar)
F9580;Egyéb tic zavarok
F9590;Nem-meghatározott tic zavarok
F9800;Nem-organikus enurézis
F9810;Nem-organikus enkoprézis
F9820;Csecsemõ- és gyermekkori táplálási zavarok
F9830;Pica csecsemõ- és gyermekkorban
F9840;Sztereotip mozgászavar
F9850;Dadogás (psallismus, ischophonia)
F9860;Hadarás (agitolalia)
F9880;Egyéb gyermek- vagy serdülõkorban kezdõdõ k.m.n emócionális zavar
F9890;Gyermek- vagy serdülõkorban kezdõdõ k.m.n. emócionális zavar
F99H0;Másként nem-meghatározott mentális rendellenesség
G0000;Haemophilus agyhártyagyulladás
G0010;Pneumococcus okozta agyhártyagyulladás
G0020;Streptococcus okozta agyhártyagyulladás
G0030;Staphylococcus okozta agyhártyagyulladás
G0080;Egyéb baktérium okozta agyhártyagyulladás
G0090;Baktérium okozta agyhártyagyulladás k.m.n.
G01H0;Agyhártyagyulladás máshova osztályozott bakteriális betegségekben
G0200;Agyhártyagyulladás máshova osztályozott vírusbetegségekben
G0210;Agyhártyagyulladás mycosisokban
G0280;Agyhártyagyulladás egyéb más. oszt. fertõzõ és parazitás betegségekben
G0300;Nem gennykeltõk okozta agyhártyagyulladás
G0310;Idült agyhártyagyulladás
G0320;Jóindulatú, visszatérõ agyhártyagyulladás [Mollaret]
G0380;Egyéb meghatározott eredetû agyhártyagyulladás
G0390;Agyhártyagyulladás k.m.n.
G0400;Heveny disszeminált agyvelõgyulladás
G0410;Trópusi spasticus paraplegia
G0420;Bakteriális meningoencephalitis és meningomyelitis m.n.o.
G0480;Egyéb encephalitis, myelitis és encephalomyelitis
G0490;Encephalitis, myelitis és encephalomyelitis k.m.n.
G0500;Encephalitis, myelitis, encephalomyelitis másh.oszt.bakt.betegségekben
G0510;Encephalitis, myelitis, encephalomyelitis másh.oszt.vírusbetegségekben
G0520;Encephalitis, myelitis, encephalomyelitis egyéb fertõzõ-parazitás bet.
G0580;Encephalitis, myelitis, encephalomyelitis egyéb másh. o. betegségekben
G0600;Intracranialis tályog és granuloma
G0610;Intraspinalis tályog és granuloma
G0620;Extraduralis és subduralis tályog k.m.n.
G07H0;Intracranialis, intraspinalis tályog, granuloma másh. o. betegségekben
G08H0;Koponyaûri és gerinccsatornai phlebitis és thrombophlebitis
G09H0;A központi idegrendszer gyulladásos megbetegedéseinek következményei
G10H0;Huntington-kór
G1100;Veleszületett, non-progressiv ataxia
G1110;Korai kisagyi ataxia
G1120;Késõi kezdetû kisagyi ataxia
G1130;Kisagyi ataxia károsodott DNA replicatióval
G1140;Öröklõdõ spasticus paraplegia
G1180;Egyéb öröklõdõ ataxiák
G1190;Öröklõdõ ataxia k.m.n.
G1200;Csecsemõkori gerincvelõi izomsorvadás I. típus [Werdnig-Hoffmann]
G1210;Egyéb öröklõdõ gerincvelõi izomsorvadás
G1220;Mozgató neuron megbetegedés
G1280;Egyéb gerincvelõi izomsorvadások és rokon syndromák
G1290;Gerincvelõi izomsorvadás k.m.n.
G1300;Paraneoplasticus neuromyopathia és neuropathia
G1310;Közp.idegrendszer elsõdleges sziszt.sorvadása daganatos betegségekben
G1320;Közp.idegrendszer elsõdleges sziszt.sorvadása myxoedemában (E00.1+)
G1380;Közp.idegrendszer elsõdleges sziszt.sorvadása egyéb másh.o. bet.gekben
G20H0;Parkinson-kór
G2100;Rosszindulatú neurolepticus syndroma
G2110;Egyéb, gyógyszer-indukálta másodlagos parkinsonismus
G2120;Más külsõ tényezõk okozta másodlagos parkinsonismus
G2130;Agyvelõgyulladás utáni parkinsonismus
G2180;Egyéb másodlagos parkinsonismus
G2190;Másodlagos parkinsonismus k.m.n.
G22H0;Parkinsonismus máshová osztályozott betegségekben
G2300;Hallervorden-Spatz betegség
G2310;Progresszív supranuclearis ophthalmoplegia
G2320;Striatonigralis elfajulás
G2380;A törzsdúcok egyéb, meghatározott elfajulásos megbetegedései
G2390;A törzsdúcok nem meghatározott elfajulásos betegsége
G2400;Gyógyszer kiváltotta dystonia
G2410;Idiopathiás familiaris dystonia
G2420;Idiopathiás nem-familiaris dystonia
G2430;Spasticus torticollis
G2440;Idiopathiás orofacialis dystonia
G2450;Szemhéjgörcs (blepharospasmus)
G2480;Egyéb dystonia
G2490;Dystonia, k.m.n.
G2500;Essentialis tremor
G2510;Gyógyszer-indukálta tremor
G2520;Egyéb meghatározott tremorok
